id,name,email,phone,company,status,user_id,created_at
316,【翔泳社の通販】SEshop,contactus@seshop.com,,,Spam,2,2024-10-17 22:37:35.592264
317,Next.js Conf,conf@info.nextjs.org,,,Spam,2,2024-10-17 22:38:27.924726
320,マジセミ代表 寺田雄一,tera@webinar-b.jp,,,Spam,2,2024-10-17 23:57:11.459737
321,【ビズスタ】,info@biz-study.com,,,Spam,2,2024-10-17 23:57:43.480361
75,Pinterest,recommendations@discover.pinterest.com,,,Spam,2,2024-10-17 11:39:48.489411
77,"",notify@zohoconnect.com,,,Spam,2,2024-10-17 11:39:53.032508
79,びゅうトラベルメールマガジン,viewtravel@mail.jre-travel.com,,,Spam,2,2024-10-17 11:40:23.767263
312,X,verify@x.com,,,Spam,2,2024-10-17 16:45:13.567388
318,平塚信用金庫,kib_shinkin@ssc.facetoface.ne.jp,,,Contacted,2,2024-10-17 22:38:48.074214
322,積水ハウス不動産の売買,sumusite-info@sekisuihouse.co.jp,,,Spam,2,2024-10-18 00:09:38.042566
331,楽天コミュニケーションズ,raku.info@comm.rakuten.co.jp,,,Spam,2,2024-10-18 01:07:39.848699
1411,ピー・シー・エー株式会社,info_pca@pca.co.jp,,,Spam,2,2024-10-22 02:05:46.371143
1448,G2,outreach@hello.g2.com,,,Spam,2,2024-10-22 13:05:50.201658
1458,1click後払い事務局,1clicksales@robotpayment.co.jp,,,Spam,2,2024-10-23 00:05:45.226748
1461,水野宏一,mzn-hrk@jcom.home.ne.jp,None,None,Qualified,2,2024-10-23 01:11:44.068327
76,Pinterest,recommendations@discover.pinterest.com,,,Spam,2,2024-10-17 11:39:49.201945
313,Skyscanner,no-reply@sender.skyscanner.com,,,Spam,2,2024-10-17 17:57:13.420919
323,リコージャパン株式会社,rcc_solution@d-marketing.jp.ricoh.com,,,Spam,2,2024-10-18 00:09:44.242112
459,EPARK,news@epark.jp,,,Spam,2,2024-10-18 23:45:48.904512
1344,楽天モバイル㈱　法人ネットワーク事業統括本部,rm-cx-info@mail.rakuten.com,,,Spam,2,2024-10-21 00:14:04.793595
1336,"Horie, Keisuke",Keisuke.Horie@dell.com,,,Contacted,2,2024-10-20 23:26:09.463922
1348,富士通ショッピングサイトWEB MART,info-biz@mail.direct.jp.fujitsu.com,,,Contacted,2,2024-10-21 00:56:05.492732
1347,Zoho Team,noreply@zohoaccounts.com,,,Spam,2,2024-10-21 00:50:05.578007
1349,ゾーホージャパン ウェビナー運営事務局,zoho-events@zoho.co.jp,,,Spam,2,2024-10-21 01:02:04.084721
1350,Mermaid,matt@mermaidchart.com,,,Spam,2,2024-10-21 01:02:07.54439
1351,NTTデータ イントラマート intra-mart LIVE 事務局,im-live2024@event-reg.jp,,,Spam,2,2024-10-21 01:02:07.685678
1361,ゾーホージャパン株式会社 ManageEngine事業部 営業部,sales@manageengine.jp,,,Spam,2,2024-10-21 02:32:08.103099
1364,株式会社フリーウェイジャパン,info@freeway-japan.com,,,Spam,2,2024-10-21 03:14:08.63379
1363,リージャス,Enquiry@regus-office.jp,,,Spam,2,2024-10-21 03:08:09.340732
1362,アンテロープ白木,sshiraki@antelope.work,,,Qualified,2,2024-10-21 02:44:03.609943
1373,Catalyst Team,info@zohocatalyst.com,,,Spam,2,2024-10-21 05:38:09.250598
1383,三井住友カード,mail@contact.vpass.ne.jp,,,Spam,2,2024-10-21 08:17:59.539941
1416,ウイングアーク１ｓｔ株式会社,news@wingarc.com,,,Spam,2,2024-10-22 02:35:42.867193
1418,新木ゆい（Baseconnect株式会社）,sales@baseconnect.in,,,Spam,2,2024-10-22 03:05:43.229718
1464,"",inoue@sagami-r.com,,,Qualified,2,2024-10-23 01:47:38.979969
1460,メシウス 株式会社（旧グレープシティ）,es.sales@contact.mescius.com,,,Spam,2,2024-10-23 01:11:37.982009
1463,StatusIQ,no-reply@mails.site24x7sp.eu,,,Spam,2,2024-10-23 01:41:42.009444
1465,QUOカードPayキャンペーン情報,info_payapp@quocard.net,,,Spam,2,2024-10-23 01:53:44.861892
324,マーケティング担当,marketing@robotpayment.co.jp,,,Spam,2,2024-10-18 00:15:26.788568
375,"",systemgenerated@zohocrm.com,,,Spam,2,2024-10-18 02:45:44.104206
408,tl;dv Team,no-reply@tldv.io,None,None,Contacted,2,2024-10-18 07:09:44.824089
447,Google Payments,payments-noreply@google.com,,,Contacted,2,2024-10-18 11:57:47.575231
1355,ゾーホージャパンManageEngine事業部,support_newsletters@manageengine.jp,,,Spam,2,2024-10-21 01:14:11.140971
1354,たんぽぽ歯科　柳田守康,tanpopo.yanagida@gmail.com,,,Qualified,2,2024-10-21 01:14:10.574439
1359,マネーフォワードクラウド年末調整,tax-adjustment.feedback@moneyforward.com,,,Spam,2,2024-10-21 02:08:03.673334
1360,株式会社セールスフォース・ジャパン,japan-marketing@mail.salesforce.com,,,Spam,2,2024-10-21 02:08:03.812346
150,不動産投資の楽待,no-reply@rakumachi.jp,,,Spam,2,2024-10-17 11:52:26.192751
151,不動産投資の楽待,no-reply@rakumachi.jp,,,Spam,2,2024-10-17 11:52:28.428905
152,Yahoo!しごとカタログ,jobs-info-master@mail.yahoo.co.jp,,,Spam,2,2024-10-17 11:52:31.78616
154,Replit,notifications@replit.com,,,Spam,2,2024-10-17 11:52:37.254148
156,seminar@myts-group.com,seminar@myts-group.com,,,Spam,2,2024-10-17 11:52:43.091953
158,クラウドワークス事務局,no-reply@melma.crowdworks.jp,,,Spam,2,2024-10-17 11:53:00.424176
160,富士通 My Cloud 事務局,mycloud-adv@fmworld.net,,,Spam,2,2024-10-17 11:53:14.533462
161,富士通 My Cloud 事務局,mycloud-adv@fmworld.net,,,Spam,2,2024-10-17 11:53:14.535605
